tmID,year,playerID,stint,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,mpg,ppg,apg,rpg,spg,bpg,topg,pfpg,fg%,3p%,ft%,orpg,drpg,pos,height,weight,college,collegeOther,birthDate,age,award,coachID,coachStint,coachWon,coachLost,coach W/L Ratio,confID,seed,results,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,opptmDRB,win_ratio,homeW_ratio,awayW_ratio,min
ATL,9,balesal01w,2,17,9,389,82,20,82,102,11,15,29,10,37,74,30,31,21,3,1,0,22.88235294117647,4.823529411764706,0.6470588235294118,6.0,0.8823529411764706,1.7058823529411764,0.5882352941176471,2.176470588235294,40.54054054054054,33.33333333333333,67.74193548387096,1.1764705882352942,4.823529411764706,C,79.0,218.0,Duke,,1985-04-04,38.52,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,castriz01w,0,29,20,671,269,10,55,65,52,27,6,57,39,272,96,59,48,94,29,0,23.13793103448276,9.275862068965518,1.793103448275862,2.2413793103448274,0.9310344827586208,0.2068965517241379,1.9655172413793105,1.3448275862068966,35.294117647058826,30.85106382978724,81.35593220338984,0.3448275862068966,1.896551724137931,F-G,72.0,140.0,,,1982-03-13,41.58,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,desouer01w,0,12,8,277,112,39,40,79,8,17,21,20,48,82,48,26,16,0,0,2,23.08333333333333,9.333333333333334,0.6666666666666666,6.583333333333333,1.4166666666666667,1.75,1.6666666666666667,4.0,58.53658536585365,0.0,61.53846153846154,3.25,3.333333333333333,F-C,77.0,190.0,,,1982-03-03,41.61,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,haynikr01w,0,33,3,486,94,15,41,56,82,30,4,47,41,95,30,32,24,32,10,0,14.727272727272728,2.8484848484848486,2.484848484848485,1.696969696969697,0.9090909090909092,0.1212121212121212,1.4242424242424243,1.2424242424242424,31.57894736842105,31.25,75.0,0.4545454545454545,1.2424242424242424,G,69.0,147.0,Michigan State,,1983-06-17,40.32,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,lacyje01w,0,33,22,605,189,35,54,89,27,18,6,37,97,190,74,55,37,21,4,1,18.33333333333333,5.727272727272728,0.8181818181818182,2.696969696969697,0.5454545454545454,0.1818181818181818,1.121212121212121,2.9393939393939394,38.94736842105263,19.047619047619047,67.27272727272727,1.0606060606060606,1.6363636363636365,F,75.0,175.0,Pepperdine,,1983-03-21,40.56,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,lattaiv01w,0,34,31,960,388,13,59,72,123,45,1,61,83,343,124,106,85,160,55,0,28.23529411764705,11.411764705882351,3.6176470588235294,2.117647058823529,1.3235294117647058,0.0294117647058823,1.7941176470588236,2.4411764705882355,36.15160349854227,34.375,80.18867924528303,0.3823529411764705,1.7352941176470589,G,66.0,143.0,North Carolina,,1984-09-24,39.04,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,lennobe01w,0,34,33,1010,595,36,107,143,81,45,3,114,92,499,207,138,118,176,63,0,29.705882352941178,17.5,2.3823529411764706,4.205882352941177,1.3235294117647058,0.088235294117647,3.3529411764705883,2.7058823529411766,41.48296593186373,35.79545454545455,85.5072463768116,1.0588235294117647,3.147058823529412,G,68.0,143.0,Louisiana Tech,,1976-12-04,46.85,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,littlca01w,1,13,2,221,62,18,22,40,9,10,7,18,34,50,21,27,16,10,4,0,17.0,4.769230769230769,0.6923076923076923,3.076923076923077,0.7692307692307693,0.5384615384615384,1.3846153846153846,2.6153846153846154,42.0,40.0,59.25925925925925,1.3846153846153846,1.6923076923076923,F,74.0,180.0,North Carolina,,1985-01-18,38.73,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,lovelst01w,1,15,7,258,91,20,34,54,15,17,10,18,34,89,36,13,9,24,10,2,17.2,6.066666666666666,1.0,3.6,1.1333333333333333,0.6666666666666666,1.2,2.2666666666666666,40.44943820224719,41.66666666666667,69.23076923076923,1.3333333333333333,2.2666666666666666,F,76.0,170.0,Purdue,,1974-12-05,48.85,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
ATL,9,mannkr01w,1,13,8,223,45,9,10,19,14,8,4,14,23,44,18,5,5,8,4,0,17.153846153846153,3.4615384615384617,1.0769230769230769,1.4615384615384617,0.6153846153846154,0.3076923076923077,1.0769230769230769,1.7692307692307692,40.909090909090914,50.0,100.0,0.6923076923076923,0.7692307692307693,F,73.0,185.0,UC Santa Barbara,,1983-08-10,40.17,,meadoma99w,0,4,30,0.1333333333333333,EA,7,label0,N,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0.118,0.059,0.176,6825
