,year,coachStint,confID_EA,confID_WE,tmID_encoded,playerID_encoded,coachID_encoded
0,11,0,True,False,0,25,36
1,11,0,True,False,0,85,36
2,11,0,True,False,0,122,36
3,11,0,True,False,0,193,36
4,11,0,True,False,0,222,36
5,11,0,True,False,0,272,36
6,11,0,True,False,0,286,36
7,11,0,True,False,0,305,36
8,11,0,True,False,0,312,36
9,11,0,True,False,0,323,36
10,11,0,True,False,0,366,36
11,11,0,True,False,0,382,36
12,11,0,True,False,2,0,0
13,11,0,True,False,2,79,0
14,11,0,True,False,2,155,0
15,11,0,True,False,2,259,0
16,11,0,True,False,2,341,0
17,11,0,True,False,2,0,0
18,11,0,True,False,2,440,0
19,11,0,True,False,2,0,0
20,11,0,True,False,2,476,0
21,11,0,True,False,2,0,0
22,11,0,True,False,2,536,0
23,11,0,True,False,2,548,0
24,11,0,True,False,4,0,46
25,11,0,True,False,4,0,46
26,11,0,True,False,4,0,46
27,11,0,True,False,4,0,46
28,11,0,True,False,4,0,46
29,11,0,True,False,4,246,46
30,11,0,True,False,4,270,46
31,11,0,True,False,4,0,46
32,11,0,True,False,4,331,46
33,11,0,True,False,4,333,46
34,11,0,True,False,4,500,46
35,11,0,True,False,4,513,46
36,11,0,True,False,7,50,17
37,11,0,True,False,7,86,17
38,11,0,True,False,7,116,17
39,11,0,True,False,7,129,17
40,11,0,True,False,7,136,17
41,11,0,True,False,7,233,17
42,11,0,True,False,7,375,17
43,11,0,True,False,7,0,17
44,11,0,True,False,7,436,17
45,11,0,True,False,7,459,17
46,11,0,True,False,7,551,17
47,11,0,False,True,8,211,8
48,11,0,False,True,8,0,8
49,11,0,False,True,8,0,8
50,11,0,False,True,8,326,8
51,11,0,False,True,8,0,8
52,11,0,False,True,8,367,8
53,11,0,False,True,8,371,8
54,11,0,False,True,8,384,8
55,11,0,False,True,8,387,8
56,11,0,False,True,8,474,8
57,11,0,False,True,8,480,8
58,11,0,False,True,8,211,21
59,11,0,False,True,8,0,21
60,11,0,False,True,8,0,21
61,11,0,False,True,8,326,21
62,11,0,False,True,8,0,21
63,11,0,False,True,8,367,21
64,11,0,False,True,8,371,21
65,11,0,False,True,8,384,21
66,11,0,False,True,8,387,21
67,11,0,False,True,8,474,21
68,11,0,False,True,8,480,21
69,11,0,False,True,10,0,0
70,11,0,False,True,10,19,0
71,11,0,False,True,10,69,0
72,11,0,False,True,10,0,0
73,11,0,False,True,10,219,0
74,11,0,False,True,10,220,0
75,11,0,False,True,10,318,0
76,11,0,False,True,10,0,0
77,11,0,False,True,10,510,0
78,11,0,False,True,10,520,0
79,11,0,False,True,10,0,0
80,11,0,True,False,11,58,52
81,11,0,True,False,11,0,52
82,11,0,True,False,11,81,52
83,11,0,True,False,11,0,52
84,11,0,True,False,11,0,52
85,11,0,True,False,11,214,52
86,11,0,True,False,11,327,52
87,11,0,True,False,11,0,52
88,11,0,True,False,11,0,52
89,11,0,True,False,11,377,52
90,11,0,True,False,11,378,52
91,11,0,True,False,11,381,52
92,11,0,True,False,11,441,52
93,11,0,True,False,11,492,52
94,11,0,False,True,12,55,20
95,11,0,False,True,12,58,20
96,11,0,False,True,12,131,20
97,11,0,False,True,12,144,20
98,11,0,False,True,12,0,20
99,11,0,False,True,12,243,20
100,11,0,False,True,12,410,20
101,11,0,False,True,12,411,20
102,11,0,False,True,12,441,20
103,11,0,False,True,12,460,20
104,11,0,False,True,12,463,20
105,11,0,False,True,12,465,20
106,11,0,False,True,12,0,20
107,11,0,False,True,15,0,25
108,11,0,False,True,15,0,25
109,11,0,False,True,15,40,25
110,11,0,False,True,15,191,25
111,11,0,False,True,15,210,25
112,11,0,False,True,15,373,25
113,11,0,False,True,15,0,25
114,11,0,False,True,15,397,25
115,11,0,False,True,15,0,25
116,11,0,False,True,15,547,25
117,11,0,False,True,16,43,2
118,11,0,False,True,16,83,2
119,11,0,False,True,16,0,2
120,11,0,False,True,16,227,2
121,11,0,False,True,16,0,2
122,11,0,False,True,16,280,2
123,11,0,False,True,16,386,2
124,11,0,False,True,16,399,2
125,11,0,False,True,16,433,2
126,11,0,False,True,16,439,2
127,11,0,False,True,16,0,2
128,11,0,False,True,16,525,2
129,11,0,False,True,16,541,2
130,11,0,False,True,5,0,0
131,11,0,False,True,5,0,0
132,11,0,False,True,5,0,0
133,11,0,False,True,5,209,0
134,11,0,False,True,5,217,0
135,11,0,False,True,5,230,0
136,11,0,False,True,5,0,0
137,11,0,False,True,5,261,0
138,11,0,False,True,5,268,0
139,11,0,False,True,5,273,0
140,11,0,False,True,5,0,0
141,11,0,False,True,5,0,0
142,11,0,False,True,5,0,0
143,11,0,False,True,5,0,0
144,11,0,False,True,5,0,0
145,11,0,False,True,5,461,0
146,11,0,False,True,5,0,0
147,11,0,False,True,5,0,0
148,11,0,False,True,5,0,0
149,11,0,False,True,5,209,0
150,11,0,False,True,5,217,0
151,11,0,False,True,5,230,0
152,11,0,False,True,5,0,0
153,11,0,False,True,5,261,0
154,11,0,False,True,5,268,0
155,11,0,False,True,5,273,0
156,11,0,False,True,5,0,0
157,11,0,False,True,5,0,0
158,11,0,False,True,5,0,0
159,11,0,False,True,5,0,0
160,11,0,False,True,5,0,0
161,11,0,False,True,5,461,0
162,11,0,True,False,17,3,29
163,11,0,True,False,17,14,29
164,11,0,True,False,17,0,29
165,11,0,True,False,17,0,29
166,11,0,True,False,17,100,29
167,11,0,True,False,17,111,29
168,11,0,True,False,17,0,29
169,11,0,True,False,17,166,29
170,11,0,True,False,17,265,29
171,11,0,True,False,17,324,29
172,11,0,True,False,17,0,29
173,11,0,True,False,17,0,29
174,11,0,True,False,17,500,29
